sku,manufacturer,name,categories,url_path,price,weight,product_weight,short_description,description,features,gallery,image,small_image,thumbnail,color,dimensions,ship_depth,ship_width,ship_height,enabled,websites,qty
17025,Safety 1st,Summit AP,Car Seats,/car-seats/summit-ap,399.00,10.3,9.3,"The Summit AP convertible car seat gives your little one the best possible protection from birth to approx 4 years of age. Featuring Air Protect Superior Side Impact Protection, and our NEW Natural Antibacterial Protection which inhabits the growth of bacteria caused by perspiration, spills or accidents, this convertible car seat is your safest option for both rearward facing and forward facing positions, allowing you to keep your child rearward facing for 12 months. The Summit AP has an inbuilt 5 position headrest adjustment and a one hand recline for comfort feature.",,,,,,,Teal Marle,47 x 47 x 66cm,47,47,66,2,sf1_base,1
14911,Safety 1st,Rhombus Portacot & Playpen,Accessories,/accessories/rhombus-portacot-and-playpen,179.00,1,,Safe and stylish playpen for your child to play and sleep in.,"Featuring a unique octagonal design, the Rhombus provides spacious play area while occupying less floor space. Lightweight, easy to use, carry and store is ideal for sleep time or playtime.",,,,,,,,,,,2,sf1_base,1
6518,Safety 1st,Outlet Plug Protectors (24 Pack),Home Safety,/home-safety/outlet-plug-protectors-24-pack,5.99,0.065,,A home safety essential. Eliminate the threat of electrical shock,"This set of Outlet Plug Protectors are designed to protect curious tots from electrical shock. Each durable plastic plug fits into any standard Australian outlet, prohibiting children from putting fingers or small objects into the socket.",,,/outlet-plug-covers-24pk-safety-1st-006518-1200x1200.jpg,/outlet-plug-covers-24pk-safety-1st-006518-450x450.jpg,/outlet-plug-covers-24pk-safety-1st-006518-120x120.jpg,,19.5 x 9.5 x 6cm,19.5,9.5,6,1,sf1_base,1
6886,Safety 1st,Cord Short'Ner,Home Safety,/home-safety/cord-short-ner,5.29,0.07,,,,,,,,,,19.4 x 9.2 x 4.1cm,19.4,9.2,4.1,2,sf1_base,1
14508,Safety 1st,Shell Nightlight With Sensor Switch (2 Pack),Home Safety,/home-safety/shell-nightlight-with-sensor-switch-2-pack,13.99,0.08,,For a warm glow that automatically illuminates when the main light is turned off.,This Shell Nightlight provides a soft-glowing light to allow parents to easily check on baby at night without waking them with a full strength light source.,,,,,,,20 x 10.8 x 4.5cm,20,10.8,4.5,2,sf1_base,1
16993,Safety 1st,Shell Nightlight With Sensor Switch,Home Safety,/home-safety/shell-nightlight-with-sensor-switch,7.99,0.04,,For a warm glow that automatically illuminates when the main light is turned off.,This Shell Nightlight provides a soft-glowing light to allow parents to easily check on baby at night without waking them with a full strength light source.,,,/shell-nightlight-with-sensor-switch-safety-1st-016993-1200x1200.jpg,/shell-nightlight-with-sensor-switch-safety-1st-016993-450x450.jpg,/shell-nightlight-with-sensor-switch-safety-1st-016993-120x120.jpg,,16 x 10.8 x 4.5cm,16,10.8,4.5,1,sf1_base,1
6506,Safety 1st,Cabinet Slide Lock (Long),Home Safety,/home-safety/cabinet-slide-lock-long,3.99,0.06,,"Easy to use, essential home safety. Protect your baby from cabinet contents with this adjustable slide lock.",Help to keep your curious crawler from accessing an off-limit side by side cabinet with a sturdy Cabinet Slide Lock. It installs easily to the handles or knobs of the cabinet and helps keep your child away from the contents inside.,,,/cabinet-slide-lock-safety-1st-006506-1200x1200.jpg,/cabinet-slide-lock-safety-1st-006506-450x450.jpg,/cabinet-slide-lock-safety-1st-006506-120x120.jpg,,29.5 x 9.2 x 2cm,29.5,9.2,2,1,sf1_base,1
6516,Safety 1st,Ultra Secure Cabinet & Drawer Latches (4 Pack),Home Safety,/home-safety/ultra-secure-cabinet-and-drawer-latches-4-pack,6.99,0.14,,A genius way to ensure home safety without sacrificing ease of access for adults.,This Ultra Secure Cabinet & Drawer Latch keeps children out of cabinets and drawers and is spring loaded for durability and long lasting use. Unique fold down feature allows the cabinet latch to be disengaged when not in use. Great for use at the Grandparents house or between children.,,,/ultra-secure-cabinet&drawer-latches-safety-1st-006516-1200x1200.jpg,/ultra-secure-cabinet&drawer-latches-safety-1st-006516-450x450.jpg,/ultra-secure-cabinet&drawer-latches-safety-1st-006516-120x120.jpg,,19.4 x 9.2 x 2.8cm,19.4,9.2,2.8,1,sf1_base,1
6835,Safety 1st,Cabinet Flex Lock (2 Pack),Home Safety,/home-safety/cabinet-flex-lock-2-pack,8.99,0.08,,A simple 3 step removal process is easy for adult hands but safely secures cabinet doors from curious little hands.,This three way locking system of the Cabinet Flex Lock will help prevent toddlers from opening two handled cabinets. The easy to install system requires no tools. The three step removal process makes it difficult for little hands.,,,/cabinet-flex-lock-2pk-safety-1st-006835-1200x1200.jpg,/cabinet-flex-lock-2pk-safety-1st-006835-450x450.jpg,/cabinet-flex-lock-2pk-safety-1st-006835-120x120.jpg,,22 x 9.5 x 3cm,22,9.5,3,1,sf1_base,1
7814,Safety 1st,Grip N Go Cabinet Lock (2 Pack),Home Safety,/home-safety/grip-n-go-cabinet-lock-2-pack,9.99,0.1,,"Easy to use, essential home safety. Protect your baby from cabinet contents with the grip n go.",The Grip N Go Cabinet Lock keeps little hands out of cabinets. For peace of mind the SecureTech technology lets you know when the lock had been secured correctly. Can be used on knobs or handles in kitchens and bathrooms.,,,/grip-n-go-cabinet-lock-safety-1st-007814-1200x1200.jpg,/grip-n-go-cabinet-lock-safety-1st-007814-450x450.jpg,/grip-n-go-cabinet-lock-safety-1st-007814-120x120.jpg,,19.4 x 9.2 x 3.1cm,19.4,9.2,3.1,1,sf1_base,1
7850,Safety 1st,Wide Grip Latches (7 Pack),Home Safety,/home-safety/wide-grip-latches-7-pack,5.99,0.1,,A less obvious lock for curious little hands. Hidden inside the doors to preserve aesthetics.,The Wide Grip Latches help keep cabinets off limits to little ones. The easy wide grip surface provides quick access for parents and they are simple to install and easy to use.,,,/wide-grip-latch-safety-1st-007850-1200x1200.jpg,/wide-grip-latch-safety-1st-007850-450x450.jpg,/wide-grip-latch-safety-1st-007850-120x120.jpg,,19.4 x 9.2 x 2.54cm,19.4,9.2,2.54,1,sf1_base,1
11316,Safety 1st,Prograde Flat Screen Tv Lock,Home Safety,/home-safety/prograde-flat-screen-tv-lock,29.99,1.6,,Protect your chidren and TV.,The ProGrade Flat Screen TV Lock from Safety 1st secures your free standing flat screen TV so that it doesn't topple over on your little ones!,,,,,,,47.3 x 17.1 x 6cm,47.3,17.1,6,2,sf1_base,1
12701,Safety 1st,Prograde Pivot Position Cabinet & Drawer Latches (4 Pack),Home Safety,/home-safety/prograde-pivot-position-cabinet-and-drawer-latches-4-pack,9.99,0.09,,Keep children out of cabinets with these versatile latches.,Help keep your curious child from opening cabinets and drawers with ProGrade Pivot Position Cabinet and Drawer Latches by Safety 1st. The versatile design mounts vertically or horizontally and folds conveniently flat and out-of-the-way when not in use.,,,,,,,19.4 x 9.2 x 3.5cm,19.4,9.2,3.5,2,sf1_base,1
13312,Safety 1st,Securetech Cabinet Lock (2 Pack),Home Safety,/home-safety/securetech-cabinet-lock-2-pack,7.99,0.07,,Keep children out of cabinets with these versatile latches.,The SecureTech Cabinet Lock features and easy-to-understand indicator that lets you know when it's locked. This sturdy cabinet lock helps keep children out of cabinets that are off limits.,,,/securetech-cabinet-lock-safety-1st-013312-1200x1200.jpg,/securetech-cabinet-lock-safety-1st-013312-450x450.jpg,/securetech-cabinet-lock-safety-1st-013312-120x120.jpg,,29.5 x 9.2 x 3.5cm,29.5,9.2,3.5,1,sf1_base,1
13444,Safety 1st,Push N Snap Cabinet Lock (2 Pack),Home Safety,/home-safety/push-n-snap-cabinet-lock-2-pack,9.99,0.18,,Keep children out of cabinets with these push and snap locks.,SecureTech technology lets you know that the lock is activated.Can be used in the kitchen or bathroom on knobs and handles. All you need to do is Push and Snap.,,,/push-n-snap-cabinet-lock-safety-1st-013444-1200x1200.jpg,/push-n-snap-cabinet-lock-safety-1st-013444-450x450.jpg,/push-n-snap-cabinet-lock-safety-1st-013444-120x120.jpg,,19.38 x 9.22 x 3.5cm,19.38,9.22,3.5,1,sf1_base,1
13636,Safety 1st,Oven Door Lock,Home Safety,/home-safety/oven-door-lock,8.99,0.16,,Keep children from opening oven doors.,Families gather in the kitchen making the Oven Door Lock ideal for keeping little ones from opening the oven door. This easy to install product is a must in the kitchen.,,,/oven-door-lock-safety-1st-013636-1200x1200.jpg,/oven-door-lock-safety-1st-013636-450x450.jpg,/oven-door-lock-safety-1st-013636-120x120.jpg,,19.38 x 9.22 x 1.91cm,19.38,9.22,1.91,1,sf1_base,1
14929,Safety 1st,Multi Purpose Application Lock,Home Safety,/home-safety/multi-purpose-application-lock,6.99,0.05,,Keep your child out of potentially dangerous appliances.,The Multi-Purpose Appliance Latch helps keep children from accessing potentially dangerous appliances.,,,/multi-purpose-application-lock-charcoal-safety-1st-014929_30-1200x1200.jpg,/multi-purpose-application-lock-charcoal-safety-1st-014929_30-450x450.jpg,/multi-purpose-application-lock-charcoal-safety-1st-014929_30-120x120.jpg,Charcoal,14.3 x 9.22 x 2.54cm,14.3,9.22,2.54,1,sf1_base,1
14930,Safety 1st,Multi Purpose Application Lock (2 Pack),Home Safety,/home-safety/multi-purpose-application-lock-2-pack,10.99,0.09,,Keep your child out of potentially dangerous appliances.,The Multi-Purpose Appliance Latch helps keep children from accessing potentially dangerous appliances.,,,,,,Charcoal,19.38 x 9.22 x 2.54cm,19.38,9.22,2.54,2,sf1_base,1
14931,Safety 1st,Multi Purpose Application Lock,Home Safety,/home-safety/multi-purpose-application-lock,6.99,0.05,,Keep your child out of potentially dangerous appliances.,The Multi-Purpose Appliance Latch helps keep children from accessing potentially dangerous appliances.,,,/multi-purpose-application-lock-white-safety-1st-014931_32-1200x1200.jpg,/multi-purpose-application-lock-white-safety-1st-014931_32-450x450.jpg,/multi-purpose-application-lock-white-safety-1st-014931_32-120x120.jpg,White,14.3 x 9.22 x 2.54cm,14.3,9.22,2.54,1,sf1_base,1
14932,Safety 1st,Multi Purpose Application Lock (2 Pack),Home Safety,/home-safety/multi-purpose-application-lock-2-pack,10.99,0.09,,Keep your child out of potentially dangerous appliances.,The Multi-Purpose Appliance Latch helps keep children from accessing potentially dangerous appliances.,,,,,,White,19.38 x 9.22 x 2.54cm,19.38,9.22,2.54,2,sf1_base,1
8280,Safety 1st,Adjustable Multi Purpose Strap,Home Safety,/home-safety/adjustable-multi-purpose-strap,6.99,0.06,,"Adjustable strap to protect your little one against the risks of accessing kitchen appliances, draws and cupboards.","The Adjustable Multi-Purpose Strap cuts down on kitchen mishaps by keeping toddlers out of kitchen appliances. The new design offers improved function and styling to blend in with modern appliances, draws and cupboards.",,,/adjustable-multi-purpose-strap-safety-1st-008280-1200x1200.jpg,/adjustable-multi-purpose-strap-safety-1st-008280-450x450.jpg,/adjustable-multi-purpose-strap-safety-1st-008280-120x120.jpg,,14.3 x 9.2 x 3.1cm,14.3,9.2,3.1,1,sf1_base,1
11319,Safety 1st,Adjustable Multi Purpose Strap (2 Pack),Home Safety,/home-safety/adjustable-multi-purpose-strap-2-pack,10.99,0.1,,"Adjustable strap to protect your little one against the risks of accessing kitchen appliances, draws and cupboards.","The Adjustable Multi-Purpose Strap cuts down on kitchen mishaps by keeping toddlers out of kitchen appliances. The new design offers improved function and styling to blend in with modern appliances, draws and cupboards.",,,/adjustable-multi-purpose-strap-safety-1st-011319-1200x1200.jpg,/adjustable-multi-purpose-strap-safety-1st-011319-450x450.jpg,/adjustable-multi-purpose-strap-safety-1st-011319-120x120.jpg,,19.4 x 9.2 x 2.5cm,19.4,9.2,2.5,1,sf1_base,1
17116,Safety 1st,Outsmart Multi-Use Lock,Home Safety,/home-safety/outsmart-multi-use-lock,9.99,0.11,,"Curious kids try to get into anything and everything, but the Safety 1st OutSmartâ„¢ Multi Use Lock helps you keep them out with the first ever decoy button. Your child will think that the decoy button opens the lock, but pushing on it has no effect. Youâ€™ll know that the flexible surface hides the actual secret to opening the lock.",This multi-use lock prevents your little explorer from getting into a variety of appliances and can be used to secure cabinets. It is easily attached with an adhesive and is removable when the lock is no longer required.,,,,,,,19.38 x 9.22 x 2.87cm,19.38,9.22,2.87,2,sf1_base,1
17117,Safety 1st,Outsmart Flex Lock,Home Safety,/home-safety/outsmart-flex-lock,9.99,0.1,,"Curious kids try to get into anything and everything, but the Safety 1st OutSmartâ„¢ Flex Lock helps you keep them out with the first ever decoy button. Your child will think that the decoy button opens the lock, but pushing it has no effect. Youâ€™ll know that the flexible surface hides the actual secret to opening the lock.","This cabinet lock prevents your little explorer from getting into side-by-side cabinets and can be used on cabinets with either knobs or handle pulls. It installs easily with no drilling required. The adjustable straps let you get a customized fit for cabinets with hardware up to 8 inches apart. For periods of non-use, this cabinet lock hangs conveniently out of the way, but stays close for when itâ€™s needed again.",,,,,,,19.38 x 9.2 x 2.54cm,19.38,9.2,2.54,2,sf1_base,1
17118,Safety 1st,Outsmart Slide Lock,Home Safety,/home-safety/outsmart-slide-lock,9.99,0.14,,"Curious kids try to get into anything and everything, but the Safety 1st OutSmartâ„¢ Slide Lock helps you keep them out with the first ever decoy button. Your child will think that the decoy button opens the lock, but pushing it has no effect. Youâ€™ll know that the flexible surface hides the actual secret to opening the lock.",This cabinet lock prevents your little explorer from getting into side-by-side cabinets and can be used on cabinets with large knobs or handle pulls. It installs easily with no drilling required and you only need one hand to operate. The OutSmart Slide Lock is designed to work with hardware up to 4.5â€³ apart.,,,,,,,29.54 x 9.22 x 2.54cm,29.54,9.22,2.54,2,sf1_base,1
6833,Safety 1st,Window Blind Cord Windups 2Pk,Home Safety,/home-safety/window-blind-cord-windups-2-pack,4.99,0.05,,Safety 1st takes care of the hazards before you even realise there is one. These essential blind cord winds ups take the risk out of loose cords.,"Safety 1st Window Blind Cord Wind-Ups help you keep your baby from playing with dangling blind cords. The Cord Wind-Ups safely stores excess cords out of your child's reach, but won't interfere with the use of your blinds.",,,,,,,19.38 x 9.22 x 2.87cm,19.38,9.22,2.87,2,sf1_base,1
8262,Safety 1st,Corner Cushion (4 Pack),Home Safety,/home-safety/corner-cushion-4-pack,4.99,0.07,,Essential baby protection for around the home. Preventing corner impact injury during activity.,Protect your active children from sharp corners with our Furniture Corner Cushions. This set of four corner cushions adhere to the corners of tables or counter tops to protect your children from injury. Self adhesive or can be screwed into place for extra durabilty. Clear rubber gel to preserve furniture aesthetics.,,,/furniture-corner-cushions-safety-1st-008262-1200x1200.jpg,/furniture-corner-cushions-safety-1st-008262-450x450.jpg,/furniture-corner-cushions-safety-1st-008262-120x120.jpg,,14.3 x 9.2 x 3.8cm,14.3,9.2,3.8,1,sf1_base,1
11314,Safety 1st,Finger Pinch Guard (2 Pack),Home Safety,/home-safety/finger-pinch-guard-2-pack,7.99,0.08,,Protect your child's finger from getting pinched in a closing door.,Protect little fingers with our Finger Pinch Guard.Attach this child proofing aid to household doors to prevent your children from accidentally pinching their fingers in a closing door.,,,/finger-pinch-guard-safety-1st-011314-1200x1200.jpg,/finger-pinch-guard-safety-1st-011314-450x450.jpg,/finger-pinch-guard-safety-1st-011314-120x120.jpg,,19.38 x 9.22 x 5.08cm,19.38,9.22,5.08,1,sf1_base,1
13641,Safety 1st,Grip N Twist Door Knob Cover,Home Safety,/home-safety/grip-n-twist-door-knob-cover,8.99,0.11,,"Curious kids try to explore everywhere, but Safety 1st OutSmartâ„¢ Knob Covers helps you keep them out with the first ever decoy button. Your child will think the decoy button will give access to the door knob, but pushing it has no effect. Youâ€™ll know that the flexible surface hides the actual secret to opening the door.","These door knob covers prevent your little explorer from accessing off-limit rooms. They easily snap around the door knob and can be operated with one adult hand by squeezing the flexible grips on the side. The decoy button wonâ€™t do anything when pushed, but adults in the know can lift it up to reveal the door lock. This convenient pack of two knob covers lets you safeguard two doors in your home.",,,/grip-n-twist-door-knob-cover-safety-1st-013641-1200x1200.jpg,/grip-n-twist-door-knob-cover-safety-1st-013641-450x450.jpg,/grip-n-twist-door-knob-cover-safety-1st-013641-120x120.jpg,,19.38 x 9.22 x 8.89cm,19.38,9.22,8.89,1,sf1_base,1
16531,Safety 1st,Funriture Wall Strap,Home Safety,/home-safety/funriture-wall-strap,7.99,0.18,,The passive hazard large furniture poses is a real consideration when babyproofing your home. These straps help eliminate that risk.,Keep your little explorer safer while at home with Safety 1st Furniture Straps. These sturdy straps secure your furniture to the wall and help prevent your climbing child from accidentally tipping things over.,,,/furniture-wall-strap-safety-1st-016531-1200x1200.jpg,/furniture-wall-strap-safety-1st-016531-450x450.jpg,/furniture-wall-strap-safety-1st-016531-120x120.jpg,,14.3 x 14.3 x 3.51cm,14.3,14.3,3.51,1,sf1_base,1
16553,Safety 1st,Refridgerator Door Lock Decore,Home Safety,/home-safety/refridgerator-door-lock-decore,7.99,0.08,,"large, heavy fridge doors are a risk to children, let alone the contents. Elminate the risk with this handy door lock.","Baby has already noticed your fridge contains all the good stuff. Help keep your curious toddler out of the fridge with the Safety 1st Refrigerator Door Lock. Designed to lay flat, the lock features a secure adhesive mount. This handy lock also works on freezer doors and easily disengages for periods of non-use.",,,/refrigerator-door-lock-safety-1st-016553--1200x1200.jpg,/refrigerator-door-lock-safety-1st-016553--450x450.jpg,/refrigerator-door-lock-safety-1st-016553--120x120.jpg,,19.38 x 10.49 x 2.87cm,19.38,10.49,2.87,1,sf1_base,1
16555,Safety 1st,Easy Grip Toilet Lock (2 Pack),Home Safety,/home-safety/easy-grip-toilet-lock-2-pack,15.99,0.12,,Donâ€™t let your little one's curiosity allow them into the toilet by securing it shut with the easy grip toilet lock.,You know how curious little ones can be. Help keep your child from playing in the toilet or trying to flush toys by securing the lid firmly shut. The Easy Grip Toilet Lock is one-handed for quick release. It also removes easily for cleaning or periods of non-use. It's designed with a flexible strap that allows it to fit most toilets and has adhesive backing for easy installation.,,,/easy-grip-toilet-lock-2pack-safety-1st-016555-1200x1200-1.jpg,/easy-grip-toilet-lock-2pack-safety-1st-016555-450x450-1.jpg,/easy-grip-toilet-lock-2pack-safety-1st-016555-120x120-1.jpg,,19.38 x 9.22 x 4.14cm,19.38,9.22,4.14,1,sf1_base,1
16548,Safety 1st,Top Of Window & Sliding Door Lock,Home Safety,/home-safety/top-of-window-and-sliding-door-lock,29.99,0.15,,The essential home safety product for Australian summer. Lets you open the door 3 inches for airflow but locks it from any further movement.,"The Safety 1st Sliding Door Child Lock prevents curious children from gaining access to off-limit areas. With the lock engaged, the door will only open 3 inches; enough to let in a cool breeze on a hot summer day but too narrow for a child to get through. The sleek design blends into the door frame, and top-of-the door installation makes it inaccessible to toddlers and young children. The lock easily disengages for periods of non use.",,,/top-of-window&sliding-door-lock-bty-safety-1st-016548-1200x1200.jpg,/top-of-window&sliding-door-lock-bty-safety-1st-016548-450x450.jpg,/top-of-window&sliding-door-lock-bty-safety-1st-016548-120x120.jpg,,19.38 x 9.22 x 2.87cm,19.38,9.22,2.87,1,sf1_base,1
